TEAM_ID,TEAM_NAME,SORT_ORDER,G,SHOT_TYPE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
1610612737,Atlanta Hawks,1,82,Totals,1.0,3514,7538,0.466,0.54,0.593,2395,4467,0.536,0.407,1119,3071,0.364
1610612737,Atlanta Hawks,2,82,Catch and Shoot,0.284,798,2139,0.373,0.548,0.016,49,117,0.419,0.268,749,2022,0.37
1610612737,Atlanta Hawks,3,82,Pullups,0.272,843,2048,0.412,0.497,0.138,495,1042,0.475,0.133,348,1006,0.346
1610612737,Atlanta Hawks,4,82,Less than 10 ft,0.437,1846,3297,0.56,0.56,0.437,1846,3297,0.56,0.0,0,0,
1610612738,Boston Celtics,1,81,Totals,1.0,3555,7302,0.487,0.578,0.528,2219,3859,0.575,0.472,1336,3443,0.388
1610612738,Boston Celtics,2,81,Catch and Shoot,0.329,988,2400,0.412,0.606,0.015,57,107,0.533,0.314,931,2293,0.406
1610612738,Boston Celtics,3,81,Pullups,0.271,775,1978,0.392,0.49,0.12,387,879,0.44,0.151,388,1099,0.353
1610612738,Boston Celtics,4,81,Less than 10 ft,0.389,1758,2840,0.619,0.619,0.389,1758,2840,0.619,0.0,0,0,
1610612739,Cleveland Cavaliers,1,82,Totals,1.0,3421,7140,0.479,0.557,0.578,2314,4127,0.561,0.422,1107,3013,0.367
1610612739,Cleveland Cavaliers,2,82,Catch and Shoot,0.311,864,2223,0.389,0.568,0.02,67,140,0.479,0.292,797,2083,0.383
1610612739,Cleveland Cavaliers,3,82,Pullups,0.228,618,1631,0.379,0.473,0.1,310,714,0.434,0.128,308,917,0.336
1610612739,Cleveland Cavaliers,4,82,Less than 10 ft,0.457,1934,3262,0.593,0.593,0.457,1934,3262,0.593,0.0,0,0,
1610612740,New Orleans Pelicans,1,81,Totals,1.0,3450,7070,0.488,0.56,0.626,2434,4428,0.55,0.374,1016,2642,0.385
1610612740,New Orleans Pelicans,2,81,Catch and Shoot,0.32,898,2264,0.397,0.573,0.027,98,193,0.508,0.293,800,2071,0.386
1610612740,New Orleans Pelicans,3,81,Pullups,0.215,639,1522,0.42,0.489,0.137,430,967,0.445,0.079,209,555,0.377
1610612740,New Orleans Pelicans,4,81,Less than 10 ft,0.46,1899,3251,0.584,0.584,0.46,1899,3251,0.584,0.0,0,0,
1610612741,Chicago Bulls,1,81,Totals,1.0,3385,7207,0.47,0.534,0.642,2464,4629,0.532,0.358,921,2578,0.357
1610612741,Chicago Bulls,2,81,Catch and Shoot,0.327,870,2358,0.369,0.523,0.043,144,312,0.462,0.284,726,2046,0.355
1610612741,Chicago Bulls,3,81,Pullups,0.244,755,1761,0.429,0.483,0.172,564,1241,0.454,0.072,191,520,0.367
1610612741,Chicago Bulls,4,81,Less than 10 ft,0.424,1755,3059,0.574,0.574,0.424,1755,3059,0.574,0.0,0,0,
1610612742,Dallas Mavericks,1,81,Totals,1.0,3472,7236,0.48,0.561,0.559,2294,4045,0.567,0.441,1178,3191,0.369
1610612742,Dallas Mavericks,2,81,Catch and Shoot,0.291,774,2107,0.367,0.543,0.012,32,85,0.376,0.279,742,2022,0.367
1610612742,Dallas Mavericks,3,81,Pullups,0.316,931,2284,0.408,0.498,0.16,517,1156,0.447,0.156,414,1128,0.367
1610612742,Dallas Mavericks,4,81,Less than 10 ft,0.387,1744,2800,0.623,0.623,0.387,1744,2800,0.623,0.0,0,0,
1610612743,Denver Nuggets,1,80,Totals,1.0,3505,7098,0.494,0.559,0.648,2577,4599,0.56,0.352,928,2499,0.371
1610612743,Denver Nuggets,2,80,Catch and Shoot,0.28,789,1989,0.397,0.568,0.029,109,209,0.522,0.251,680,1780,0.382
1610612743,Denver Nuggets,3,80,Pullups,0.245,703,1741,0.404,0.472,0.148,464,1054,0.44,0.097,239,687,0.348
1610612743,Denver Nuggets,4,80,Less than 10 ft,0.464,1984,3292,0.603,0.603,0.464,1984,3292,0.603,0.0,0,0,
1610612744,Golden State Warriors,1,81,Totals,1.0,3489,7312,0.477,0.558,0.575,2308,4207,0.549,0.425,1181,3105,0.38
1610612744,Golden State Warriors,2,81,Catch and Shoot,0.326,923,2381,0.388,0.566,0.022,72,161,0.447,0.304,851,2220,0.383
1610612744,Golden State Warriors,3,81,Pullups,0.254,730,1856,0.393,0.479,0.137,411,1005,0.409,0.116,319,851,0.375
1610612744,Golden State Warriors,4,81,Less than 10 ft,0.413,1816,3020,0.601,0.601,0.413,1816,3020,0.601,0.0,0,0,
1610612745,Houston Rockets,1,82,Totals,1.0,3415,7431,0.46,0.53,0.602,2374,4477,0.53,0.398,1041,2954,0.352
1610612745,Houston Rockets,2,82,Catch and Shoot,0.281,775,2088,0.371,0.535,0.027,90,201,0.448,0.254,685,1887,0.363
1610612745,Houston Rockets,3,82,Pullups,0.265,746,1968,0.379,0.466,0.126,405,939,0.431,0.138,341,1029,0.331
1610612745,Houston Rockets,4,82,Less than 10 ft,0.443,1860,3295,0.564,0.564,0.443,1860,3295,0.564,0.0,0,0,
1610612746,LA Clippers,1,81,Totals,1.0,3401,6972,0.488,0.56,0.619,2389,4313,0.554,0.381,1012,2659,0.381
1610612746,LA Clippers,2,81,Catch and Shoot,0.253,707,1766,0.4,0.581,0.022,68,154,0.442,0.231,639,1612,0.396
1610612746,LA Clippers,3,81,Pullups,0.317,907,2213,0.41,0.491,0.171,547,1192,0.459,0.146,360,1021,0.353
1610612746,LA Clippers,4,81,Less than 10 ft,0.422,1761,2942,0.599,0.599,0.422,1761,2942,0.599,0.0,0,0,
1610612747,Los Angeles Lakers,1,81,Totals,1.0,3488,6995,0.499,0.566,0.641,2544,4484,0.567,0.359,944,2511,0.376
1610612747,Los Angeles Lakers,2,81,Catch and Shoot,0.285,790,1993,0.396,0.571,0.029,95,204,0.466,0.256,695,1789,0.388
1610612747,Los Angeles Lakers,3,81,Pullups,0.238,633,1668,0.379,0.451,0.14,393,981,0.401,0.098,240,687,0.349
1610612747,Los Angeles Lakers,4,81,Less than 10 ft,0.467,2038,3265,0.624,0.624,0.467,2038,3265,0.624,0.0,0,0,
1610612748,Miami Heat,1,82,Totals,1.0,3229,6931,0.466,0.539,0.607,2217,4208,0.527,0.393,1012,2723,0.372
1610612748,Miami Heat,2,82,Catch and Shoot,0.331,874,2297,0.38,0.546,0.038,113,265,0.426,0.293,761,2032,0.375
1610612748,Miami Heat,3,82,Pullups,0.229,623,1588,0.392,0.467,0.135,386,937,0.412,0.094,237,651,0.364
1610612748,Miami Heat,4,82,Less than 10 ft,0.43,1711,2983,0.574,0.574,0.43,1711,2983,0.574,0.0,0,0,
1610612749,Milwaukee Bucks,1,82,Totals,1.0,3536,7256,0.487,0.567,0.57,2373,4135,0.574,0.43,1163,3121,0.373
1610612749,Milwaukee Bucks,2,82,Catch and Shoot,0.316,891,2295,0.388,0.568,0.017,66,122,0.541,0.299,825,2173,0.38
1610612749,Milwaukee Bucks,3,82,Pullups,0.272,785,1976,0.397,0.479,0.146,461,1058,0.436,0.127,324,918,0.353
1610612749,Milwaukee Bucks,4,82,Less than 10 ft,0.404,1834,2929,0.626,0.626,0.404,1834,2929,0.626,0.0,0,0,
1610612750,Minnesota Timberwolves,1,82,Totals,1.0,3382,6968,0.485,0.56,0.616,2346,4290,0.547,0.384,1036,2678,0.387
1610612750,Minnesota Timberwolves,2,82,Catch and Shoot,0.282,792,1967,0.403,0.593,0.013,43,91,0.473,0.269,749,1876,0.399
1610612750,Minnesota Timberwolves,3,82,Pullups,0.241,638,1680,0.38,0.463,0.128,359,895,0.401,0.113,279,785,0.355
1610612750,Minnesota Timberwolves,4,82,Less than 10 ft,0.472,1937,3286,0.589,0.589,0.472,1937,3286,0.589,0.0,0,0,
1610612751,Brooklyn Nets,1,79,Totals,1.0,3218,7032,0.458,0.532,0.588,2167,4136,0.524,0.412,1051,2896,0.363
1610612751,Brooklyn Nets,2,79,Catch and Shoot,0.308,836,2165,0.386,0.571,0.011,35,78,0.449,0.297,801,2087,0.384
1610612751,Brooklyn Nets,3,79,Pullups,0.26,653,1828,0.357,0.423,0.148,412,1042,0.395,0.112,241,786,0.307
1610612751,Brooklyn Nets,4,79,Less than 10 ft,0.428,1718,3011,0.571,0.571,0.428,1718,3011,0.571,0.0,0,0,
1610612752,New York Knicks,1,82,Totals,1.0,3359,7213,0.466,0.54,0.596,2281,4300,0.53,0.404,1078,2913,0.37
1610612752,New York Knicks,2,82,Catch and Shoot,0.286,802,2065,0.388,0.575,0.011,33,77,0.429,0.276,769,1988,0.387
1610612752,New York Knicks,3,82,Pullups,0.286,815,2062,0.395,0.469,0.16,511,1156,0.442,0.126,304,906,0.336
1610612752,New York Knicks,4,82,Less than 10 ft,0.425,1735,3063,0.566,0.566,0.425,1735,3063,0.566,0.0,0,0,
1610612753,Orlando Magic,1,82,Totals,1.0,3318,6961,0.477,0.542,0.631,2415,4394,0.55,0.369,903,2567,0.352
1610612753,Orlando Magic,2,82,Catch and Shoot,0.293,763,2037,0.375,0.55,0.014,47,99,0.475,0.278,716,1938,0.369
1610612753,Orlando Magic,3,82,Pullups,0.218,539,1520,0.355,0.413,0.132,361,918,0.393,0.086,178,602,0.296
1610612753,Orlando Magic,4,82,Less than 10 ft,0.484,2007,3368,0.596,0.596,0.484,2007,3368,0.596,0.0,0,0,
1610612754,Indiana Pacers,1,82,Totals,1.0,3841,7580,0.507,0.578,0.619,2762,4695,0.588,0.381,1079,2885,0.374
1610612754,Indiana Pacers,2,82,Catch and Shoot,0.29,890,2197,0.405,0.585,0.021,99,156,0.635,0.269,791,2041,0.388
1610612754,Indiana Pacers,3,82,Pullups,0.233,737,1764,0.418,0.496,0.125,462,949,0.487,0.108,275,815,0.337
1610612754,Indiana Pacers,4,82,Less than 10 ft,0.473,2201,3585,0.614,0.614,0.473,2201,3585,0.614,0.0,0,0,
1610612755,Philadelphia 76ers,1,81,Totals,1.0,3362,7230,0.465,0.533,0.628,2385,4544,0.525,0.372,977,2686,0.364
1610612755,Philadelphia 76ers,2,81,Catch and Shoot,0.268,758,1935,0.392,0.565,0.025,87,182,0.478,0.242,671,1753,0.383
1610612755,Philadelphia 76ers,3,81,Pullups,0.273,739,1977,0.374,0.447,0.15,450,1084,0.415,0.124,289,893,0.324
1610612755,Philadelphia 76ers,4,81,Less than 10 ft,0.445,1824,3216,0.567,0.567,0.445,1824,3216,0.567,0.0,0,0,
1610612756,Phoenix Suns,1,81,Totals,1.0,3387,6879,0.492,0.565,0.621,2390,4274,0.559,0.379,997,2605,0.383
1610612756,Phoenix Suns,2,81,Catch and Shoot,0.309,850,2126,0.4,0.578,0.026,94,178,0.528,0.283,756,1948,0.388
1610612756,Phoenix Suns,3,81,Pullups,0.292,903,2012,0.449,0.507,0.2,670,1379,0.486,0.092,233,633,0.368
1610612756,Phoenix Suns,4,81,Less than 10 ft,0.391,1614,2691,0.6,0.6,0.391,1614,2691,0.6,0.0,0,0,
1610612757,Portland Trail Blazers,1,81,Totals,1.0,3177,7250,0.438,0.502,0.63,2254,4568,0.493,0.37,923,2682,0.344
1610612757,Portland Trail Blazers,2,81,Catch and Shoot,0.303,825,2198,0.375,0.534,0.036,129,260,0.496,0.267,696,1938,0.359
1610612757,Portland Trail Blazers,3,81,Pullups,0.232,599,1680,0.357,0.421,0.132,381,959,0.397,0.099,218,721,0.302
1610612757,Portland Trail Blazers,4,81,Less than 10 ft,0.457,1726,3315,0.521,0.521,0.457,1726,3315,0.521,0.0,0,0,
1610612758,Sacramento Kings,1,82,Totals,1.0,3536,7421,0.476,0.556,0.568,2363,4216,0.56,0.432,1173,3205,0.366
1610612758,Sacramento Kings,2,82,Catch and Shoot,0.327,910,2430,0.374,0.552,0.017,49,123,0.398,0.311,861,2307,0.373
1610612758,Sacramento Kings,3,82,Pullups,0.25,737,1852,0.398,0.481,0.131,431,974,0.443,0.118,306,878,0.349
1610612758,Sacramento Kings,4,82,Less than 10 ft,0.418,1873,3102,0.604,0.604,0.418,1873,3102,0.604,0.0,0,0,
1610612759,San Antonio Spurs,1,81,Totals,1.0,3390,7343,0.462,0.531,0.599,2371,4395,0.539,0.401,1019,2948,0.346
1610612759,San Antonio Spurs,2,81,Catch and Shoot,0.342,897,2508,0.358,0.519,0.031,89,224,0.397,0.311,808,2284,0.354
1610612759,San Antonio Spurs,3,81,Pullups,0.205,536,1508,0.355,0.422,0.118,334,869,0.384,0.087,202,639,0.316
1610612759,San Antonio Spurs,4,81,Less than 10 ft,0.445,1934,3266,0.592,0.592,0.445,1934,3266,0.592,0.0,0,0,
1610612760,Oklahoma City Thunder,1,82,Totals,1.0,3653,7324,0.499,0.573,0.617,2563,4519,0.567,0.383,1090,2805,0.389
1610612760,Oklahoma City Thunder,2,82,Catch and Shoot,0.319,944,2333,0.405,0.596,0.016,52,116,0.448,0.303,892,2217,0.402
1610612760,Oklahoma City Thunder,3,82,Pullups,0.255,830,1865,0.445,0.496,0.178,639,1303,0.49,0.077,191,562,0.34
1610612760,Oklahoma City Thunder,4,82,Less than 10 ft,0.423,1871,3096,0.604,0.604,0.423,1871,3096,0.604,0.0,0,0,
1610612761,Toronto Raptors,1,81,Totals,1.0,3419,7258,0.471,0.535,0.632,2493,4589,0.543,0.368,926,2669,0.347
1610612761,Toronto Raptors,2,81,Catch and Shoot,0.31,841,2251,0.374,0.545,0.022,71,158,0.449,0.288,770,2093,0.368
1610612761,Toronto Raptors,3,81,Pullups,0.204,517,1478,0.35,0.4,0.127,368,921,0.4,0.077,149,557,0.268
1610612761,Toronto Raptors,4,81,Less than 10 ft,0.482,2050,3497,0.586,0.586,0.482,2050,3497,0.586,0.0,0,0,
1610612762,Utah Jazz,1,81,Totals,1.0,3396,7276,0.467,0.539,0.592,2344,4309,0.544,0.408,1052,2967,0.355
1610612762,Utah Jazz,2,81,Catch and Shoot,0.317,867,2303,0.376,0.557,0.011,34,78,0.436,0.306,833,2225,0.374
1610612762,Utah Jazz,3,81,Pullups,0.197,499,1433,0.348,0.424,0.097,283,704,0.402,0.1,216,729,0.296
1610612762,Utah Jazz,4,81,Less than 10 ft,0.483,2024,3517,0.575,0.575,0.483,2024,3517,0.575,0.0,0,0,
1610612763,Memphis Grizzlies,1,82,Totals,1.0,3141,7214,0.435,0.51,0.571,2070,4121,0.502,0.429,1071,3093,0.346
1610612763,Memphis Grizzlies,2,82,Catch and Shoot,0.338,882,2435,0.362,0.537,0.013,31,94,0.33,0.325,851,2341,0.364
1610612763,Memphis Grizzlies,3,82,Pullups,0.205,509,1482,0.343,0.416,0.104,294,751,0.391,0.101,215,731,0.294
1610612763,Memphis Grizzlies,4,82,Less than 10 ft,0.454,1745,3274,0.533,0.533,0.454,1745,3274,0.533,0.0,0,0,
1610612764,Washington Wizards,1,82,Totals,1.0,3509,7464,0.47,0.538,0.611,2499,4557,0.548,0.389,1010,2907,0.347
1610612764,Washington Wizards,2,82,Catch and Shoot,0.294,798,2197,0.363,0.535,0.016,43,118,0.364,0.279,755,2079,0.363
1610612764,Washington Wizards,3,82,Pullups,0.226,603,1685,0.358,0.431,0.119,357,891,0.401,0.106,246,794,0.31
1610612764,Washington Wizards,4,82,Less than 10 ft,0.474,2095,3537,0.592,0.592,0.474,2095,3537,0.592,0.0,0,0,
1610612765,Detroit Pistons,1,81,Totals,1.0,3302,7122,0.464,0.526,0.641,2410,4564,0.528,0.359,892,2558,0.349
1610612765,Detroit Pistons,2,81,Catch and Shoot,0.276,701,1963,0.357,0.522,0.019,52,132,0.394,0.257,649,1831,0.354
1610612765,Detroit Pistons,3,81,Pullups,0.278,788,1981,0.398,0.458,0.178,549,1266,0.434,0.1,239,715,0.334
1610612765,Detroit Pistons,4,81,Less than 10 ft,0.443,1806,3153,0.573,0.573,0.443,1806,3153,0.573,0.0,0,0,
1610612766,Charlotte Hornets,1,81,Totals,1.0,3237,7052,0.459,0.528,0.609,2259,4294,0.526,0.391,978,2758,0.355
1610612766,Charlotte Hornets,2,81,Catch and Shoot,0.292,758,2056,0.369,0.539,0.02,59,139,0.424,0.272,699,1917,0.365
1610612766,Charlotte Hornets,3,81,Pullups,0.273,695,1925,0.361,0.43,0.157,428,1109,0.386,0.116,267,816,0.327
1610612766,Charlotte Hornets,4,81,Less than 10 ft,0.429,1766,3027,0.583,0.583,0.429,1766,3027,0.583,0.0,0,0,
